"",gene_symbol,GSM1275862,GSM1275863,GSM1275864,GSM1275865,GSM1275866,GSM1275867,GSM1275868,GSM1275869,GSM1275870,GSM1275871,GSM1275872,GSM1275873,GSM1275874,GSM1275875,GSM1275876,GSM1275877
ENSG00000000003,TSPAN6,716.2285,480.4701,772.218,480.1553,895.6621,443.0157,1043.165,905.4095,1164.4783,1090.7799,1154.5151,1147.192,802.6228,599.092,1138.1592,898.6057
ENSG00000000005,TNMD,0,0,0,0,0,0,1.0067,0,0,0,0.9998,0,0,0,0,0
ENSG00000000419,DPM1,467.1657,519.8632,464.9854,529.0433,610.4268,369.6634,878.9734,451.0805,576.9496,778.005,737.9267,503.1515,415.7607,507.8483,550.7243,677.4747
ENSG00000000457,SCYL3,346.9808,258.66,290.4677,297.557,362.3017,235.4602,416.6984,292.8984,319.6585,447.0678,381.4091,284.9177,330.5482,327.2378,323.0858,405.2815
ENSG00000000460,C1orf112,94.1817,78.096,111.743,89.9106,62.3215,53.1242,146.375,67.8691,108.2289,74.4135,84.8734,80.1641,95.6871,71.9642,145.9502,107.6481
ENSG00000000938,FGR,0,0,0,0,1.6337,0,0,0.8299,2.9126,0,0.7012,0,0,0,0,1.6476
ENSG00000000971,CFH,3418.0585,3926.8963,4068.8029,4336.0942,6007.2933,4324.0317,12209.5611,6226.9626,6450.1607,10771.947,10926.9894,6629.633,5052.5022,7828.7932,8090.3417,10306.3293
ENSG00000001036,FUCA2,2318.3727,1712.849,2417.8482,1710.3083,2623.7301,1380.2135,3063.6088,2427.6391,2153.4505,2256.3398,1986.8009,1933.3748,2174.6629,1784.6827,2827.8071,2191.0295
ENSG00000001084,GCLC,649.8385,358.8863,544.3532,413.8824,668.1702,426.6892,1204.8691,601.8904,878.5198,790.7471,801.6772,814.5457,711.7149,658.213,860.0688,1015.1994
ENSG00000001167,NFYA,426.9574,295.5403,552.4096,268.8356,534.5415,178.4731,515.8846,413.9871,751.3731,654.7254,580.409,514.1443,416.2399,284.0034,423.5147,385.8346
ENSG00000001460,STPG1,175.8987,173.8945,163.3138,231.5212,263.3706,128.9958,267.8749,244.4509,238.6582,217.9037,207.5042,137.2251,161.7456,177.0985,225.4371,250.3793
ENSG00000001461,NIPAL3,2194.123,1934.0229,2051.4853,2084.3007,5188.6573,2652.4998,6983.2229,4242.4047,2683.2003,2908.182,2700.3691,2351.096,2458.9605,3188.8507,2962.7314,3938.9927
ENSG00000001497,LAS1L,554.0749,510.5918,552.6876,492.3145,616.6201,354.7595,840.3806,530.4206,665.1125,769.2641,672.1855,409.8572,516.8258,439.6946,615.5526,716.8972
ENSG00000001561,ENPP4,73.3051,52.5643,60.2363,43.4243,211.6766,159.6772,300.362,176.5131,22.4418,37.4476,26.9075,26.9319,133.9209,177.338,174.1156,188.2011
ENSG00000001617,SEMA3F,565.1256,373.2313,646.7261,361.5937,935.4756,434.6479,802.8132,598.8968,713.5447,729.2675,705.3092,601.6223,586.0585,642.1541,739.7441,684.5379
ENSG00000001626,CFTR,18.9794,11.4221,11.8619,3.5191,17.4127,8.0301,9.2275,9.9738,9.1157,7.9981,8.3771,5.3236,8.1753,13.5217,7.952,10.34
ENSG00000001629,ANKIB1,1516.1152,1231.3703,1567.7718,1340.9793,2516.9364,1071.1131,2775.3756,2298.6983,2936.0217,2755.2747,1869.6675,1718.2139,1827.7808,1769.3253,2479.2599,2334.3768
